record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,td_sim_12,td_sim_13,td_sim_14,td_sim_15,td_sim_16,td_sim_17,td_sim_18,td_sim_19,record_atd
4982,3596.0,2540.0,265.0,4440.0,2410.0,373.0,1954.0,4261.0,4888.0,3060.0,3815.0,3029.0,3078.0,3767.0,4207.0,1660.0,132.0,3093.0,406.0,83.0,2552.85
4984,2607.0,604.0,4525.0,333.0,20.0,3237.0,4175.0,4067.0,99.0,5187.0,1956.0,3323.0,4872.0,3830.0,1616.0,5145.0,3271.0,4348.0,4166.0,228.0,2880.45
4985,4153.0,4489.0,2274.0,198.0,371.0,858.0,3526.0,1113.0,2885.0,4187.0,3301.0,2375.0,3705.0,3463.0,4809.0,635.0,87.0,694.0,403.0,136.0,2183.1
4988,4331.0,1983.0,1290.0,933.0,3213.0,3813.0,4707.0,1247.0,1726.0,126.0,2059.0,2599.0,4701.0,2733.0,3329.0,3075.0,2567.0,3685.0,948.0,109.0,2458.7
4990,2956.0,4110.0,1437.0,1015.0,3725.0,4854.0,235.0,550.0,4858.0,22.0,80.0,2459.0,2863.0,12.0,1466.0,258.0,120.0,35.0,53.0,35.0,1557.15
4991,3418.0,3237.0,3746.0,4773.0,2893.0,3306.0,1160.0,4819.0,1437.0,1908.0,1766.0,4826.0,3854.0,2558.0,1769.0,5129.0,1609.0,862.0,4453.0,275.0,2889.9
5000,226.0,1010.0,3811.0,2435.0,2191.0,75.0,3345.0,3575.0,1555.0,1971.0,3190.0,3628.0,298.0,113.0,75.0,66.0,60.0,51.0,34.0,26.0,1386.75
5002,3806.0,4044.0,743.0,2069.0,2931.0,1818.0,3173.0,3100.0,1314.0,2520.0,3914.0,3906.0,2437.0,4940.0,4841.0,1669.0,3052.0,996.0,2719.0,166.0,2707.9
5021,1605.0,2921.0,4099.0,1812.0,2083.0,2281.0,1671.0,3635.0,1533.0,3642.0,1150.0,478.0,1199.0,1020.0,4673.0,1786.0,2837.0,2523.0,1864.0,148.0,2148.0
5036,66.0,1028.0,1056.0,3734.0,2330.0,2168.0,4651.0,4771.0,851.0,1278.0,4450.0,3522.0,185.0,1176.0,3945.0,2176.0,4555.0,1597.0,2759.0,331.0,2331.45
5041,7.0,4846.0,4412.0,2826.0,3443.0,2820.0,4967.0,1675.0,2871.0,4081.0,3050.0,4085.0,1275.0,4139.0,1083.0,1742.0,374.0,147.0,100.0,51.0,2399.7
5044,531.0,4352.0,434.0,1009.0,1897.0,4572.0,2876.0,106.0,71.0,1566.0,2708.0,70.0,41.0,364.0,34.0,34.0,18.0,16.0,18.0,14.0,1036.55
5048,1494.0,894.0,128.0,554.0,4345.0,4644.0,1040.0,1283.0,1789.0,761.0,4400.0,349.0,1889.0,3538.0,1318.0,1497.0,576.0,262.0,101.0,63.0,1546.25
5062,4936.0,2132.0,593.0,1137.0,4879.0,169.0,3091.0,2733.0,3089.0,1018.0,3957.0,1437.0,2593.0,3978.0,3217.0,2377.0,954.0,267.0,135.0,62.0,2137.7
5066,2196.0,4099.0,3831.0,4684.0,4852.0,1198.0,1158.0,249.0,127.0,3970.0,864.0,3021.0,1620.0,3619.0,2639.0,739.0,940.0,203.0,93.0,50.0,2007.6
5086,483.0,639.0,4022.0,1650.0,3890.0,2079.0,3528.0,3968.0,1647.0,1101.0,1780.0,153.0,1714.0,1894.0,893.0,1198.0,563.0,245.0,132.0,65.0,1582.2
5104,3478.0,1305.0,4503.0,3574.0,3415.0,2612.0,1054.0,2793.0,3589.0,4269.0,3300.0,4840.0,1324.0,2664.0,1179.0,4501.0,1663.0,1065.0,2176.0,428.0,2686.6
5109,4732.0,2684.0,1516.0,1640.0,3891.0,1292.0,3924.0,1297.0,1772.0,3544.0,4296.0,3757.0,1289.0,2429.0,2176.0,569.0,2979.0,338.0,811.0,97.0,2251.65
5113,2661.0,4667.0,4356.0,179.0,324.0,4405.0,3620.0,2921.0,2213.0,1019.0,2834.0,1556.0,3583.0,1663.0,726.0,961.0,4421.0,605.0,3903.0,222.0,2341.95
5118,3674.0,4267.0,2171.0,726.0,5170.0,2356.0,519.0,3256.0,1425.0,4158.0,568.0,1914.0,3713.0,877.0,1347.0,3696.0,147.0,3743.0,3265.0,258.0,2362.5
5152,2389.0,1051.0,2113.0,2068.0,3964.0,1825.0,1710.0,3024.0,1285.0,236.0,2929.0,1006.0,737.0,3414.0,3762.0,2572.0,2312.0,643.0,2749.0,390.0,2008.95
5160,2687.0,1732.0,2900.0,2816.0,1528.0,2029.0,891.0,794.0,3691.0,4344.0,41.0,2510.0,4252.0,2398.0,1056.0,4302.0,3879.0,2998.0,4558.0,860.0,2513.3
